Price,Model_year,Milage,Brand,Model,Fuel_type,Transmission,Accident,Clean_title,condition
38990,2018.0,34043.0,dodge,durango r/t sport utility,gas,other,Unknown,Clean,good
36752,2018.0,43786.0,ford,f-150 xl extended cab,gas,automatic,Unknown,Unknown,excellent
6950,2008.0,154000.0,jeep,liberty,gas,automatic,Unknown,Clean,like new
9900,2013.0,134405.0,nissan,maxima 3.5 4dr sedan,gas,automatic,Unknown,Clean,excellent
7995,2008.0,91191.0,honda,civic lx 4dr sedan 5m,gas,manual,Unknown,Clean,good
24777,2014.0,135852.0,ford,f-150,gas,automatic,Unknown,Clean,
17995,2009.0,76500.0,chevrolet,silverado 1500,gas,automatic,Unknown,Clean,excellent
5399,2012.0,0.0,,FABRIQUE PAR CARRY ON TRAILER,gas,automatic,Unknown,Clean,
37590,2017.0,48049.0,porsche,macan sport utility 4d,gas,other,Unknown,Clean,good
26426,2015.0,116495.0,toyota,tundra,gas,automatic,Unknown,Clean,excellent
29995,2014.0,41660.0,jeep,wrangler unlimited,gas,automatic,Unknown,Clean,
23988,2017.0,25039.0,chevrolet,malibu,gas,automatic,Unknown,Clean,
7000,1936.0,99999.0,,Studebaker,gas,manual,Unknown,Clean,
4999,2006.0,199101.0,toyota,camry solara,gas,automatic,Unknown,Clean,
24590,2017.0,40784.0,chevrolet,silverado 1500 regular,gas,other,Unknown,Clean,good
17990,2009.0,46210.0,pontiac,solstice convertible 2d,other,other,Unknown,Clean,good
21995,2013.0,75116.0,toyota,tacoma,gas,automatic,Unknown,Clean,
19999,2006.0,175996.0,ford,f-350,diesel,automatic,Unknown,Clean,
16590,2016.0,48575.0,nissan,rogue s sport utility 4d,other,other,Unknown,Clean,good
8997,2010.0,87573.0,pontiac,vibe 1.8l 1-owner* only 87k miles* no accidents* no damages* all service records since new* fresh trade in*2-keys* newer good year all season tires*60k service done,gas,automatic,Unknown,Clean,
2000,1994.0,206000.0,ford,ranger,gas,manual,Unknown,Clean,good
32999,2014.0,124821.0,gmc,"sierra 3500hd cc one owner, service work truck, 12ft flatbed!",gas,automatic,Unknown,Clean,
18990,2020.0,11491.0,kia,forte fe sedan 4d,gas,other,Unknown,Clean,good
26990,2015.0,45774.0,audi,q5 tdi premium plus sport,gas,other,Unknown,Clean,good
39990,2015.0,49714.0,gmc,sierra 1500 slt,gas,automatic,Unknown,Clean,good
8950,2011.0,164406.0,honda,odyssey ex-l,gas,automatic,Unknown,Clean,good
38590,2018.0,41846.0,audi,s5 premium plus sedan 4d,gas,automatic,Unknown,Clean,good
49000,2018.0,29000.0,gmc,sierra 1500 slt,gas,automatic,Unknown,Clean,excellent
3900,2013.0,130000.0,ford,fiesta,gas,automatic,Unknown,Clean,
20999,2017.0,73892.0,nissan,murano,gas,automatic,Unknown,Clean,
16900,2018.0,61335.0,chevrolet,malibu,gas,other,Unknown,Clean,
29990,2019.0,30244.0,subaru,forester touring sport,gas,other,Unknown,Clean,good
9995,2007.0,176155.0,chevrolet,silverado 1500,gas,automatic,Unknown,Clean,excellent
7500,2012.0,116000.0,volkswagen,jetta,gas,automatic,Unknown,Clean,excellent
33800,2006.0,32167.0,chevrolet,silverado 2500hd lbz,diesel,automatic,Unknown,Clean,excellent
6499,2007.0,165066.0,buick,lucerne cxl,gas,automatic,Unknown,Clean,excellent
17999,2017.0,68711.0,nissan,nv200 compact cargo,gas,automatic,Unknown,Clean,excellent
35000,2019.0,43000.0,toyota,tacoma,gas,automatic,Unknown,Clean,excellent
5450,2013.0,69318.0,kia,soul,gas,automatic,Unknown,rebuilt,
3100,1990.0,199000.0,toyota,pickup truck,gas,automatic,Unknown,Clean,fair
18778,2016.0,116431.0,buick,enclave,gas,automatic,Unknown,Clean,
47895,2020.0,25026.0,jeep,wrangler unlimited sahara,other,automatic,Unknown,Clean,good
16998,2013.0,76688.0,toyota,sienna,gas,automatic,Unknown,Clean,
15990,2016.0,29652.0,,Scion iM Hatchback 4D,gas,other,Unknown,Clean,good
34990,2018.0,26285.0,jeep,wrangler unlimited sport,gas,other,Unknown,Clean,good
6900,2009.0,137000.0,toyota,sienna,gas,automatic,Unknown,Clean,excellent
29900,2011.0,33000.0,mercedes-benz,e 550,gas,automatic,Unknown,Clean,excellent
12995,2016.0,74674.0,dodge,grand caravan,gas,automatic,Unknown,Clean,like new
